종류,uri,method,기능,설명
뷰,/,GET,루트 페이지,게시판 페이지로 이동
뷰,/error,GET,에러 페이지,
뷰,/login,GET,로그인 페이지,
뷰,/sign-up,GET,회원 가입 페이지,
뷰,/articles,GET,게시판 페이지,
뷰,/articles/{article-id},GET,게시글 페이지,
뷰,/articles/search,GET,게시판 검색 전용 페이지,
뷰,/articles/search-hashtag,GET,게시판 해시태그 검색 전용 페이지,
api,/api/sign-up,POST,회원 가입,
api,/api/login,GET,로그인 요청,
api,/api/articles,GET,게시글 리스트 조회,
api,/api/articles/{article-id},GET,게시글 단일 조회,
api,/api/articles,POST,게시글 추가,
api,/api/articles/{article-id},PUT-PATCH,게시글 수정,
api,/api/articles/{article-id},DELETE,게시글 삭제,
api,/api/articleComments,GET,댓글 리스트 조회,
api,/api/articleComments/{article-comment-id},GET,댓글 단일 조회,
api,/api/articles/{article-id}/articleComments,GET,게시글에 연관된 댓글 리스트 조회,
api,/api/articles/{article-id}/articleComments/{article-comment-id},GET,게시글에 연관된 댓글 단일 조회,
api,/api/articles/{article-id}/articleComments,POST,댓글 등록,
api,/api/articles/{article-id}/articleComments/{article-comment-id},PUT-PATCH,댓글 수정,
api,/api/articles/{article-id}/articleComments/{article-comment-id},DELETE,댓글 삭제,
